0	4	+0.00295770	+0.000001
1	3	+0.00000114	+4.845148
1	5	+0.00001229	+3.379637
2	2	+0.00017790	+1.732504
2	4	+0.00000189	+4.533558
2	6	+0.00065191	+0.932070
3	1	+0.01750924	-1.096049
3	3	+0.00015619	+1.812720
3	5	+0.00003099	+2.809596
3	7	+0.00162020	+0.370954
4	0	+0.38446192	-3.000000
4	2	+0.01900653	-1.146623
4	4	+0.00026464	+1.487725
4	6	+0.00017078	+1.757679
4	8	+0.06465691	-1.901217
5	1	+0.47432089	-3.129456
5	3	+0.03372921	-1.500145
5	5	+0.00000052	+5.328948
5	7	+0.00000031	+5.647755
5	9	+0.00015143	+1.831795
6	2	+0.00004026	+2.648303
6	4	+0.00007705	+2.248238
