0	5	+0.00042475	+0.000002
1	4	+0.00000009	+5.213910
1	6	+0.00000118	+3.627780
2	3	+0.00001802	+1.947652
2	5	+0.00000027	+4.536790
2	7	+0.00000889	+2.383132
3	2	+0.00263834	-1.125687
3	4	+0.00004564	+1.374885
3	6	+0.00000001	+6.568151
3	8	+0.00005879	+1.218835
4	1	+0.03505320	-2.719989
4	3	+0.00941576	-1.909819
4	5	+0.00000626	+2.599312
4	7	+0.00000004	+5.713720
4	9	+0.00014693	+0.654276
5	0	+0.17189997	-3.700000
5	2	+0.13194157	-3.536945
5	4	+0.00016986	+0.564895
5	6	+0.00000015	+4.899067
5	8	+0.00000006	+5.463815
5	10	+0.00000453	+2.798672
6	1	+0.62948013	-4.500000
6	3	+0.01868545	-2.332235
