0	5	+0.00311767	+0.000001
1	4	+0.00000090	+5.023310
1	6	+0.00000685	+3.772377
2	3	+0.00013088	+1.954149
2	5	+0.00000030	+5.700430
2	7	+0.00023674	+1.588855
3	2	+0.00185924	+0.318599
3	4	+0.00000578	+3.877059
3	6	+0.00000240	+4.418784
3	8	+0.00467653	-0.249907
4	1	+0.07458960	-1.956831
4	3	+0.00015312	+1.857420
4	5	+0.00005764	+2.459589
4	7	+0.00000004	+6.942298
4	9	+0.00144418	+0.474303
5	0	+0.91210692	-3.500000
5	2	+0.00155446	+0.428949
5	4	+0.00004859	+2.564860
5	6	+0.00000001	+7.796729
5	10	+0.00000805	+3.672885
