0	5	+0.00065640	+0.000006
1	4	+0.00000010	+5.417251
1	6	+0.00000140	+3.790690
2	3	+0.00000494	+3.013550
2	5	+0.00000008	+5.554784
2	7	+0.00001105	+2.517354
3	2	+0.00025895	+0.573287
3	4	+0.00000354	+3.218938
3	6	+0.00000028	+4.782654
3	8	+0.00009378	+1.199295
4	1	+0.01010316	-1.684969
4	3	+0.00018408	+0.783623
4	5	+0.00000948	+2.611806
4	7	+0.00000079	+4.143358
4	9	+0.00029615	+0.490555
5	0	+0.97279254	-4.500000
5	2	+0.00868983	-1.592090
5	4	+0.00002548	+2.002424
5	6	+0.00002168	+2.101965
5	8	+0.00000027	+4.805069
5	10	+0.00018856	+0.768802
6	1	+0.00663519	-1.425822
6	3	+0.00002214	+2.089024
