0	5	+0.01902988	+0.000000
1	4	+0.00000341	+5.317212
1	6	+0.00005009	+3.661035
2	3	+0.00013393	+3.054865
2	5	+0.00000096	+6.098446
2	7	+0.00036420	+2.438286
3	2	+0.00372718	+1.004858
3	4	+0.00001822	+4.284342
3	6	+0.00000327	+5.343050
3	8	+0.00150080	+1.565515
4	1	+0.17054747	-1.351639
4	3	+0.00046822	+2.283439
4	5	+0.00004232	+3.764926
4	7	+0.00001170	+4.557339
4	9	+0.00171717	+1.482507
5	0	+0.79449566	-2.300000
5	2	+0.00226024	+1.313140
5	4	+0.00187052	+1.429786
5	6	+0.00004269	+3.759561
5	8	+0.00000016	+7.202782
5	10	+0.00000120	+5.960913
6	1	+0.00336622	+1.067639
6	3	+0.00017218	+2.900026
6	5	+0.00017218	+2.900026
