0	6	+0.00160973	+0.000001
1	5	+0.00000019	+5.574536
1	7	+0.00000396	+3.702721
2	4	+0.00001060	+3.095865
2	6	+0.00000017	+5.643089
2	8	+0.00002586	+2.546185
3	3	+0.00021232	+1.248541
3	5	+0.00000869	+3.218321
3	7	+0.00000065	+4.816467
3	9	+0.00021881	+1.229984
4	2	+0.00234713	-0.232438
4	4	+0.00009027	+1.775692
4	6	+0.00001342	+2.950475
4	8	+0.00000172	+4.216701
4	10	+0.00002209	+2.643304
5	1	+0.06314009	-2.261534
5	3	+0.00109510	+0.237429
5	5	+0.00018754	+1.325031
5	7	+0.00001749	+2.787217
5	9	+0.00000057	+4.897415
5	11	+0.00037428	+0.899131
6	0	+0.90120141	-3.900000
6	2	+0.02736814	-1.746287
6	4	+0.00198536	-0.129266
6	6	+0.00006412	+1.986511
6	8	+0.00000015	+5.720232
6	10	+0.00000002	+6.962100
