0	5	+0.00055825	+0.000009
1	4	+0.00000040	+4.462999
1	6	+0.00000173	+3.560421
2	3	+0.00001317	+2.309358
2	5	+0.00000013	+5.155724
2	7	+0.00004750	+1.518723
3	2	+0.00024283	+0.513080
3	4	+0.00000296	+3.229404
3	6	+0.00000235	+3.371639
3	8	+0.00335360	-1.105080
4	1	+0.03533926	-2.556540
4	3	+0.00000937	+2.519179
4	5	+0.00025485	+0.483302
4	7	+0.00025178	+0.490772
4	9	+0.04310065	-2.678911
5	0	+0.31253826	-3.900000
5	2	+0.00000429	+3.000681
5	4	+0.00000001	+6.736609
5	6	+0.00000137	+3.704220
5	8	+0.00000137	+3.704220
5	10	+0.60427575	-4.306356
