0	7	+0.00004411	+0.000018
1	8	+0.00000006	+4.067933
2	5	+0.00000046	+2.812518
2	9	+0.00000254	+1.759379
3	4	+0.00001813	+0.548019
3	6	+0.00000002	+4.745053
3	8	+0.00000001	+5.172269
3	10	+0.00005329	-0.116508
4	3	+0.00039587	-1.352481
4	5	+0.00000027	+3.140907
4	7	+0.00000013	+3.591384
4	9	+0.00000010	+3.753090
4	11	+0.00047503	-1.464835
5	2	+0.01049650	-3.372671
5	4	+0.00000322	+1.613173
5	6	+0.00000050	+2.761126
5	8	+0.00000100	+2.333911
5	10	+0.00000012	+3.640717
5	12	+0.00096417	-1.901137
6	1	+0.11089671	-4.825731
6	3	+0.00002486	+0.353445
6	5	+0.00000387	+1.499844
6	7	+0.00000146	+2.100665
6	9	+0.00000015	+3.503185
6	13	+0.00000001	+5.172269
7	0	+0.87661727	-6.100000
